วันที่,เลขชนิด,ชนิดรถ,เลขประเภท,ประเภทรถ,ความเร็วเฉลี่ย่,ส่วนเบี่ยงเบนมาตรฐานความเร็ว
2019-04-04,5,บรรทุกส่วนบุคคล,13,บรรทุกของเหลว,24.0,13.33
2019-04-04,5,บรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,43.0,17.91
2019-04-04,5,บรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,28.0,16.52
2019-04-04,5,บรรทุกส่วนบุคคล,19,ลากจูง,38.0,17.18
2019-04-04,6,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,37.0,18.05
2019-04-04,6,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,45.0,17.52
2019-04-04,6,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,40.0,16.66
2019-04-04,6,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,44.0,17.27
2019-04-04,6,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,34.0,16.19
2019-04-04,6,รถบรรทุกไม่ประจำทาง,19,ลากจูง,41.0,17.75
2019-04-04,6,รถบรรทุกไม่ประจำทาง,99,ไม่สามารถระบุได้,40.0,22.71
2019-04-04,7,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,41.0,17.43
2019-04-04,7,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,44.0,18.53
2019-04-04,7,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,41.0,16.68
2019-04-04,7,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,44.0,17.9
2019-04-04,7,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,30.0,16.25
2019-04-04,7,รถบรรทุกไม่ประจำทาง,19,ลากจูง,42.0,17.73
2019-04-04,7,รถบรรทุกไม่ประจำทาง,99,ไม่สามารถระบุได้,35.0,17.71
2019-04-04,8,รถบรรทุกส่วนบุคคล,11,กระบะบรรทุก,34.0,17.0
2019-04-04,8,รถบรรทุกส่วนบุคคล,12,ตู้บรรทุก,44.0,18.24
2019-04-04,8,รถบรรทุกส่วนบุคคล,13,บรรทุกของเหลว,24.0,12.91
2019-04-04,8,รถบรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,38.0,16.61
2019-04-04,8,รถบรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,31.0,18.37
2019-04-04,8,รถบรรทุกส่วนบุคคล,19,ลากจูง,40.0,17.98
2019-04-04,8,รถบรรทุกส่วนบุคคล,99,ไม่สามารถระบุได้,33.0,16.56
2019-04-04,9,รถบรรทุกส่วนบุคคล,11,กระบะบรรทุก,31.0,16.39
2019-04-04,9,รถบรรทุกส่วนบุคคล,12,ตู้บรรทุก,42.0,18.06
2019-04-04,9,รถบรรทุกส่วนบุคคล,13,บรรทุกของเหลว,23.0,13.2
2019-04-04,9,รถบรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,35.0,15.83
2019-04-04,9,รถบรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,29.0,16.4
2019-04-04,9,รถบรรทุกส่วนบุคคล,19,ลากจูง,34.0,16.23
